dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,256,4,30,0.7757184643260457,0.956953642384106,0.8447540450737855
ml-1m,256,4,35,0.7770653282925426,0.9644039735099338,0.8485875329762418
ml-1m,256,4,5,0.6950193156732891,0.7798013245033113,0.7241721854304636
ml-1m,256,4,10,0.7532077814569537,0.8783112582781457,0.7985975732646534
ml-1m,256,4,15,0.7702061804089949,0.9213576158940396,0.8264576876097467
ml-1m,256,4,20,0.7804618551314981,0.9445364238410596,0.842477076394294
ml-1m,256,4,25,0.7828715307727396,0.9577814569536424,0.8491482816699827
ml-1m,256,4,30,0.7802601767327885,0.9660596026490066,0.8510045896163013
ml-1m,256,4,35,0.7784134649562401,0.9693708609271524,0.8514572176761221
ml-1m,256,4,5,0.6920391832229581,0.7789735099337748,0.7226400714811312
ml-1m,256,4,10,0.7487651766004415,0.8716887417218543,0.7927433319698248
ml-1m,256,4,15,0.7777539008085366,0.9155629139072848,0.8290124979704957
ml-1m,256,4,20,0.7872885702126521,0.9379139072847682,0.8439013291031222
ml-1m,256,4,25,0.7886548376290367,0.949503311258278,0.849190119320138
ml-1m,256,4,30,0.7932305490096943,0.9602649006622516,0.8567434250298336
ml-1m,256,4,35,0.7959390980695671,0.968543046357616,0.8618758921034203
ml-1m,256,4,5,0.6987858719646799,0.7839403973509934,0.7285628876274571
ml-1m,256,4,10,0.7648881793335436,0.8874172185430463,0.8092852880556888
ml-1m,256,4,15,0.7800902211291284,0.9279801324503312,0.8342028496956627
ml-1m,256,4,20,0.7906943004818943,0.9503311258278144,0.8499044525302244
ml-1m,256,4,25,0.7965472040240908,0.9619205298013244,0.8588478641209788
ml-1m,256,4,30,0.7954655385638639,0.9710264900662252,0.8620495671358391
ml-1m,256,4,35,0.7900071640206919,0.972682119205298,0.8595664200425092
ml-1m,256,4,5,0.7165424944812362,0.7913907284768212,0.7435331914222643
ml-1m,256,4,10,0.7726745637548618,0.8882450331125827,0.8153724734175241
ml-1m,256,4,15,0.7762357284915232,0.9172185430463576,0.8287612913606118
ml-1m,256,4,20,0.7795038209800541,0.9428807947019868,0.8400206147408743
ml-1m,256,4,25,0.7842918942583097,0.956953642384106,0.8489903631175109
ml-1m,256,4,30,0.7808711083218565,0.9627483443708608,0.8493196673426604
ml-1m,256,4,35,0.7770984596955617,0.9677152317880796,0.8491861887434281
ml-1m,256,4,5,0.7068708609271522,0.7880794701986755,0.7354692263218754
ml-1m,256,4,10,0.7673821349731946,0.8865894039735099,0.8111431057870431
ml-1m,256,4,15,0.7880267612262645,0.929635761589404,0.8404989770792003
ml-1m,256,4,20,0.7879015503990516,0.9486754966887416,0.8475928125407585
ml-1m,256,4,25,0.7888771224799866,0.9627483443708608,0.8540737112814768
ml-1m,256,4,30,0.7898833801931318,0.9759933774834436,0.859595436742706
ml-1m,256,4,35,0.7892513406889604,0.9817880794701986,0.8621649255979078
ml-1m,256,4,5,0.6908802428256071,0.7798013245033113,0.7216138442131819
ml-1m,256,4,10,0.7496393093661305,0.8766556291390728,0.7951964142745287
ml-1m,256,4,15,0.7690124146456927,0.906456953642384,0.8199972302021842
ml-1m,256,4,20,0.7789448951713102,0.9321192052980132,0.8358578691351051
ml-1m,256,4,25,0.7804835529475203,0.9428807947019868,0.8421412562634626
ml-1m,256,4,30,0.7863053266816771,0.9561258278145696,0.8510751198351475
ml-1m,256,4,35,0.7819754543294505,0.9619205298013244,0.8503189167360168
ml-1m,256,4,5,0.6898454746136866,0.7632450331125827,0.7158014033427941
ml-1m,256,4,10,0.7645038368548303,0.8824503311258278,0.8082268280292801
